"","PC1","PC2"
"anomalia_xch4",-0.0454838646903349,-0.76678483819267
"anomalia_xco2",-0.0768330543914085,-0.358228151612365
"desmatamento",-0.196443677303408,-0.620392959929943
"vento",-0.348106775938744,0.768368888717156
"lai",-0.669339664194321,-0.469380393473986
"precipitacao",-0.849638960789561,-0.0925587783091671
"fpar",-0.868343975135247,-0.163792147033706
"radiacao",-0.916530411317328,0.272377164519873
"pressao",-0.948929074417331,0.158897785914335
"umidade",-0.958846038636758,0.053624519806908
