"","PC1","PC2","PC3"
"anomalia_xco2",0.0471880068444692,0.155516894741207,0.633549347950108
"vento",0.0542363667514893,-0.811895724640857,-0.11894044558299
"anomalia_xch4",0.090465806684594,0.691084675973841,0.427194705143973
"desmatamento",0.11215415405656,0.531117320020361,0.080835754654015
"lai",0.57375042160764,0.603795489094712,-0.426359648676343
"precipitacao",0.683470657122026,-0.094193845611654,0.245942252773486
"fpar",0.705616139799684,0.319985422048778,-0.514812153789999
"radiacao",0.83771665624068,-0.409831355143745,0.114713753486027
"pressao",0.858664343776168,-0.167871761370172,0.100792389833658
"umidade",0.905498407842814,-0.116796253232339,0.205397836411766
