"","PC1","PC2","PC3"
"anomalia_xco2",0.0171567908259645,-0.194715005960932,-0.847643368084945
"anomalia_xch4",-0.137114227957173,0.706977603132949,0.273818760221244
"desmatamento",-0.166239475561655,0.50145472316729,-0.310128705621157
"vento",-0.345469312231797,-0.738960982412861,-0.0320826406032163
"lai",-0.59819138791882,0.564534734981081,-0.284832615510376
"precipitacao",-0.795463577855758,-0.0888623747428883,0.289278186612984
"fpar",-0.824452358442476,0.285819785705692,-0.170071129336405
"radiacao",-0.901903685993583,-0.269960625416841,-0.0880964548877122
"umidade",-0.949052932428424,-0.0798910879839165,0.148332448204574
"pressao",-0.954583537336912,-0.11702388778049,0.0311348190460398
